SiteID, 12998
Longitude, -122.8125
Latitude, 40.59375
Year,Month,Day,Hour,Minute,SCORE-lite Power Output 100m
2006,1,1,0,0,21.124000000000002
2006,1,1,0,10,14.247
2006,1,1,0,20,8.173
2006,1,1,0,30,6.013
2006,1,1,0,40,5.577000000000001
2006,1,1,0,50,4.75
2006,1,1,1,0,3.948
2006,1,1,1,10,2.995
2006,1,1,1,20,0.0
2006,1,1,1,30,2.7239999999999998
2006,1,1,1,40,3.293
2006,1,1,1,50,4.562
2006,1,1,2,0,3.82
2006,1,1,2,10,5.468
2006,1,1,2,20,5.931
2006,1,1,2,30,6.931
2006,1,1,2,40,8.698
2006,1,1,2,50,10.569
2006,1,1,3,0,13.787
2006,1,1,3,10,14.822000000000001
2006,1,1,3,20,18.558
2006,1,1,3,30,17.497
2006,1,1,3,40,19.909000000000002
2006,1,1,3,50,21.998
2006,1,1,4,0,23.491
2006,1,1,4,10,22.206
2006,1,1,4,20,20.134
2006,1,1,4,30,24.877
2006,1,1,4,40,22.043000000000003
2006,1,1,4,50,25.178
2006,1,1,5,0,23.375
2006,1,1,5,10,22.197
2006,1,1,5,20,18.934
2006,1,1,5,30,16.465
2006,1,1,5,40,10.610999999999999
2006,1,1,5,50,19.612000000000002
2006,1,1,6,0,24.133000000000003
2006,1,1,6,10,25.654
2006,1,1,6,20,29.93
2006,1,1,6,30,30.0
2006,1,1,6,40,24.941
2006,1,1,6,50,29.2
2006,1,1,7,0,25.441999999999997
2006,1,1,7,10,26.171
2006,1,1,7,20,26.774
2006,1,1,7,30,28.775
2006,1,1,7,40,27.434
2006,1,1,7,50,24.301
2006,1,1,8,0,22.191999999999997
2006,1,1,8,10,22.474
2006,1,1,8,20,23.482
2006,1,1,8,30,16.721
2006,1,1,8,40,20.198
2006,1,1,8,50,26.354
2006,1,1,9,0,27.252
2006,1,1,9,10,23.811
2006,1,1,9,20,24.522
2006,1,1,9,30,24.788
2006,1,1,9,40,27.743000000000002
2006,1,1,9,50,28.743000000000002
2006,1,1,10,0,28.03
2006,1,1,10,10,26.101999999999997
2006,1,1,10,20,28.98
2006,1,1,10,30,30.0
2006,1,1,10,40,30.0
2006,1,1,10,50,30.0
2006,1,1,11,0,30.0
2006,1,1,11,10,30.0
2006,1,1,11,20,30.0
2006,1,1,11,30,29.691
2006,1,1,11,40,28.784000000000002
2006,1,1,11,50,28.366
2006,1,1,12,0,30.0
2006,1,1,12,10,30.0
2006,1,1,12,20,30.0
2006,1,1,12,30,30.0
2006,1,1,12,40,30.0
2006,1,1,12,50,30.0
2006,1,1,13,0,29.569000000000003
2006,1,1,13,10,29.058000000000003
2006,1,1,13,20,29.535999999999998
2006,1,1,13,30,30.0
2006,1,1,13,40,30.0
2006,1,1,13,50,28.95
2006,1,1,14,0,30.0
2006,1,1,14,10,29.921
2006,1,1,14,20,30.0
2006,1,1,14,30,28.393
2006,1,1,14,40,28.764
2006,1,1,14,50,30.0
2006,1,1,15,0,30.0
2006,1,1,15,10,29.636999999999997
2006,1,1,15,20,28.338
2006,1,1,15,30,30.0
2006,1,1,15,40,30.0
2006,1,1,15,50,29.564
2006,1,1,16,0,29.624000000000002
2006,1,1,16,10,29.249000000000002
2006,1,1,16,20,30.0
2006,1,1,16,30,30.0
2006,1,1,16,40,30.0
2006,1,1,16,50,30.0
2006,1,1,17,0,30.0
2006,1,1,17,10,30.0
2006,1,1,17,20,29.125
2006,1,1,17,30,30.0
2006,1,1,17,40,30.0
2006,1,1,17,50,30.0
2006,1,1,18,0,30.0
2006,1,1,18,10,30.0
2006,1,1,18,20,30.0
2006,1,1,18,30,30.0
2006,1,1,18,40,27.639
2006,1,1,18,50,29.01
2006,1,1,19,0,28.761
2006,1,1,19,10,28.695999999999998
2006,1,1,19,20,30.0
2006,1,1,19,30,29.612
2006,1,1,19,40,29.131999999999998
2006,1,1,19,50,30.0
2006,1,1,20,0,30.0
2006,1,1,20,10,29.123
2006,1,1,20,20,28.185
2006,1,1,20,30,29.849
2006,1,1,20,40,29.675
2006,1,1,20,50,29.939
2006,1,1,21,0,30.0
2006,1,1,21,10,30.0
2006,1,1,21,20,30.0
2006,1,1,21,30,30.0
2006,1,1,21,40,29.031999999999996
2006,1,1,21,50,30.0
2006,1,1,22,0,29.575
2006,1,1,22,10,30.0
2006,1,1,22,20,30.0
2006,1,1,22,30,29.410999999999998
2006,1,1,22,40,30.0
2006,1,1,22,50,25.47
2006,1,1,23,0,26.174
2006,1,1,23,10,24.768
2006,1,1,23,20,22.578000000000003
2006,1,1,23,30,22.035999999999998
2006,1,1,23,40,28.755
2006,1,1,23,50,29.858
2006,1,2,0,0,30.0
2006,1,2,0,10,30.0
2006,1,2,0,20,30.0
2006,1,2,0,30,30.0
2006,1,2,0,40,30.0
2006,1,2,0,50,30.0
2006,1,2,1,0,29.761999999999997
2006,1,2,1,10,30.0
2006,1,2,1,20,30.0
2006,1,2,1,30,30.0
2006,1,2,1,40,30.0
2006,1,2,1,50,30.0
2006,1,2,2,0,30.0
2006,1,2,2,10,30.0
2006,1,2,2,20,30.0
2006,1,2,2,30,29.017
2006,1,2,2,40,28.781999999999996
2006,1,2,2,50,30.0
2006,1,2,3,0,30.0
2006,1,2,3,10,29.369
2006,1,2,3,20,29.853
2006,1,2,3,30,28.730999999999998
2006,1,2,3,40,30.0
2006,1,2,3,50,30.0
2006,1,2,4,0,30.0
2006,1,2,4,10,30.0
2006,1,2,4,20,30.0
2006,1,2,4,30,30.0
2006,1,2,4,40,30.0
2006,1,2,4,50,30.0
2006,1,2,5,0,26.373
2006,1,2,5,10,27.686
2006,1,2,5,20,30.0
2006,1,2,5,30,30.0
2006,1,2,5,40,30.0
2006,1,2,5,50,29.991
2006,1,2,6,0,28.355
2006,1,2,6,10,30.0
2006,1,2,6,20,29.949
2006,1,2,6,30,30.0
2006,1,2,6,40,29.281
2006,1,2,6,50,30.0
2006,1,2,7,0,30.0
2006,1,2,7,10,30.0
2006,1,2,7,20,30.0
2006,1,2,7,30,29.62
2006,1,2,7,40,29.910999999999998
2006,1,2,7,50,30.0
2006,1,2,8,0,28.232
2006,1,2,8,10,30.0
2006,1,2,8,20,30.0
2006,1,2,8,30,27.769000000000002
2006,1,2,8,40,30.0
2006,1,2,8,50,30.0
2006,1,2,9,0,30.0
2006,1,2,9,10,28.616999999999997
2006,1,2,9,20,30.0
2006,1,2,9,30,30.0
2006,1,2,9,40,30.0
2006,1,2,9,50,27.913
2006,1,2,10,0,25.651999999999997
2006,1,2,10,10,19.368
2006,1,2,10,20,16.227999999999998
2006,1,2,10,30,11.335999999999999
2006,1,2,10,40,10.649000000000001
2006,1,2,10,50,4.776
2006,1,2,11,0,6.2829999999999995
2006,1,2,11,10,0.0
2006,1,2,11,20,3.324
2006,1,2,11,30,1.057
2006,1,2,11,40,0.0
2006,1,2,11,50,0.972
2006,1,2,12,0,0.0
2006,1,2,12,10,0.0
2006,1,2,12,20,0.0
2006,1,2,12,30,2.009
2006,1,2,12,40,1.848
2006,1,2,12,50,2.039
2006,1,2,13,0,2.455
2006,1,2,13,10,3.484
2006,1,2,13,20,3.1460000000000004
2006,1,2,13,30,3.3560000000000003
2006,1,2,13,40,2.436
2006,1,2,13,50,0.293
2006,1,2,14,0,1.109
2006,1,2,14,10,2.907
2006,1,2,14,20,3.324
2006,1,2,14,30,3.3480000000000003
2006,1,2,14,40,5.617000000000001
2006,1,2,14,50,6.7139999999999995
2006,1,2,15,0,7.686
2006,1,2,15,10,10.213
2006,1,2,15,20,8.774
2006,1,2,15,30,5.092
2006,1,2,15,40,7.98
2006,1,2,15,50,4.417
2006,1,2,16,0,5.118
2006,1,2,16,10,8.673
2006,1,2,16,20,8.73
2006,1,2,16,30,8.668
2006,1,2,16,40,8.683
2006,1,2,16,50,9.402000000000001
2006,1,2,17,0,10.203
2006,1,2,17,10,10.477
2006,1,2,17,20,10.712
2006,1,2,17,30,10.157
2006,1,2,17,40,8.007
2006,1,2,17,50,9.921
2006,1,2,18,0,6.922000000000001
2006,1,2,18,10,7.287000000000001
2006,1,2,18,20,9.253
2006,1,2,18,30,8.761000000000001
2006,1,2,18,40,8.315
2006,1,2,18,50,10.359000000000002
2006,1,2,19,0,6.95
2006,1,2,19,10,11.677999999999999
2006,1,2,19,20,8.27
2006,1,2,19,30,9.202
2006,1,2,19,40,9.166
2006,1,2,19,50,10.515
2006,1,2,20,0,8.122
2006,1,2,20,10,10.183
2006,1,2,20,20,11.630999999999998
2006,1,2,20,30,12.982000000000001
2006,1,2,20,40,10.068
2006,1,2,20,50,10.248
2006,1,2,21,0,13.135
2006,1,2,21,10,14.552999999999999
2006,1,2,21,20,15.25
2006,1,2,21,30,15.125
2006,1,2,21,40,14.898
2006,1,2,21,50,12.503
2006,1,2,22,0,14.833
2006,1,2,22,10,14.161
2006,1,2,22,20,10.422
2006,1,2,22,30,10.147
2006,1,2,22,40,9.979
2006,1,2,22,50,12.061
2006,1,2,23,0,17.325
2006,1,2,23,10,16.666
2006,1,2,23,20,19.595
2006,1,2,23,30,22.348000000000003
2006,1,2,23,40,19.902
2006,1,2,23,50,15.232999999999999
2006,1,3,0,0,19.195999999999998
2006,1,3,0,10,11.875
2006,1,3,0,20,9.134
2006,1,3,0,30,8.68
2006,1,3,0,40,5.247999999999999
2006,1,3,0,50,7.416
2006,1,3,1,0,7.164
2006,1,3,1,10,6.4879999999999995
2006,1,3,1,20,0.0
2006,1,3,1,30,6.178
2006,1,3,1,40,5.85
2006,1,3,1,50,5.376
2006,1,3,2,0,6.944
2006,1,3,2,10,9.615
2006,1,3,2,20,9.642999999999999
2006,1,3,2,30,10.671
2006,1,3,2,40,12.286
2006,1,3,2,50,7.032
2006,1,3,3,0,7.349
2006,1,3,3,10,8.406
2006,1,3,3,20,7.41
2006,1,3,3,30,5.773
2006,1,3,3,40,1.8419999999999999
2006,1,3,3,50,4.732
2006,1,3,4,0,5.496
2006,1,3,4,10,5.6770000000000005
2006,1,3,4,20,8.442
2006,1,3,4,30,9.823
2006,1,3,4,40,7.627000000000001
2006,1,3,4,50,10.341
2006,1,3,5,0,8.214
2006,1,3,5,10,11.698
2006,1,3,5,20,6.646
2006,1,3,5,30,9.552
2006,1,3,5,40,10.12
2006,1,3,5,50,6.809
2006,1,3,6,0,6.224
2006,1,3,6,10,6.595
2006,1,3,6,20,6.121
2006,1,3,6,30,7.723
2006,1,3,6,40,9.502
2006,1,3,6,50,4.415
2006,1,3,7,0,9.509
2006,1,3,7,10,19.135
2006,1,3,7,20,19.81
2006,1,3,7,30,18.331
2006,1,3,7,40,18.139
2006,1,3,7,50,21.904
2006,1,3,8,0,25.878
2006,1,3,8,10,25.775
2006,1,3,8,20,24.364
2006,1,3,8,30,27.914
2006,1,3,8,40,30.0
2006,1,3,8,50,27.283
2006,1,3,9,0,29.468000000000004
2006,1,3,9,10,29.0
2006,1,3,9,20,29.679000000000002
2006,1,3,9,30,28.39
2006,1,3,9,40,29.712
2006,1,3,9,50,29.649
2006,1,3,10,0,26.666999999999998
2006,1,3,10,10,29.801
2006,1,3,10,20,26.660999999999998
2006,1,3,10,30,30.0
2006,1,3,10,40,30.0
2006,1,3,10,50,30.0
2006,1,3,11,0,30.0
2006,1,3,11,10,29.72
2006,1,3,11,20,30.0
2006,1,3,11,30,30.0
2006,1,3,11,40,30.0
2006,1,3,11,50,30.0
2006,1,3,12,0,28.401999999999997
2006,1,3,12,10,28.18
2006,1,3,12,20,30.0
2006,1,3,12,30,30.0
2006,1,3,12,40,30.0
2006,1,3,12,50,30.0
2006,1,3,13,0,29.628
2006,1,3,13,10,30.0
2006,1,3,13,20,28.628
2006,1,3,13,30,30.0
2006,1,3,13,40,28.546999999999997
2006,1,3,13,50,29.093000000000004
2006,1,3,14,0,29.57
2006,1,3,14,10,30.0
2006,1,3,14,20,30.0
2006,1,3,14,30,29.138
2006,1,3,14,40,29.313000000000002
2006,1,3,14,50,30.0
2006,1,3,15,0,30.0
2006,1,3,15,10,30.0
2006,1,3,15,20,30.0
2006,1,3,15,30,30.0
2006,1,3,15,40,30.0
2006,1,3,15,50,29.430999999999997
2006,1,3,16,0,29.723000000000003
2006,1,3,16,10,30.0
2006,1,3,16,20,29.276
2006,1,3,16,30,30.0
2006,1,3,16,40,30.0
2006,1,3,16,50,30.0
2006,1,3,17,0,29.353
2006,1,3,17,10,29.004
2006,1,3,17,20,30.0
2006,1,3,17,30,29.697
2006,1,3,17,40,30.0
2006,1,3,17,50,29.267
2006,1,3,18,0,30.0
2006,1,3,18,10,28.805
2006,1,3,18,20,29.548000000000002
2006,1,3,18,30,30.0
2006,1,3,18,40,30.0
2006,1,3,18,50,29.526
2006,1,3,19,0,29.976
2006,1,3,19,10,28.318
2006,1,3,19,20,30.0
2006,1,3,19,30,30.0
2006,1,3,19,40,30.0
2006,1,3,19,50,30.0
2006,1,3,20,0,27.564
2006,1,3,20,10,30.0
2006,1,3,20,20,30.0
2006,1,3,20,30,29.015
2006,1,3,20,40,30.0
2006,1,3,20,50,27.601999999999997
2006,1,3,21,0,29.664
2006,1,3,21,10,30.0
2006,1,3,21,20,28.803
2006,1,3,21,30,29.253
2006,1,3,21,40,28.737
2006,1,3,21,50,26.1
2006,1,3,22,0,25.006999999999998
2006,1,3,22,10,23.645
2006,1,3,22,20,24.655
2006,1,3,22,30,23.378
2006,1,3,22,40,26.624000000000002
2006,1,3,22,50,26.909000000000002
2006,1,3,23,0,19.719
2006,1,3,23,10,19.62
2006,1,3,23,20,17.504
2006,1,3,23,30,17.035
2006,1,3,23,40,15.217
2006,1,3,23,50,13.568
2006,1,4,0,0,13.732000000000001
2006,1,4,0,10,14.043
2006,1,4,0,20,12.439
2006,1,4,0,30,7.017
2006,1,4,0,40,14.187000000000001
2006,1,4,0,50,6.757999999999999
2006,1,4,1,0,6.144
2006,1,4,1,10,5.207000000000001
2006,1,4,1,20,2.4219999999999997
2006,1,4,1,30,2.483
2006,1,4,1,40,1.8719999999999999
2006,1,4,1,50,0.54
2006,1,4,2,0,1.396
2006,1,4,2,10,0.879
2006,1,4,2,20,2.1959999999999997
2006,1,4,2,30,1.125
2006,1,4,2,40,5.497999999999999
2006,1,4,2,50,4.729
2006,1,4,3,0,3.466
2006,1,4,3,10,3.668
2006,1,4,3,20,3.01
2006,1,4,3,30,2.866
2006,1,4,3,40,2.234
2006,1,4,3,50,2.457
2006,1,4,4,0,2.5580000000000003
2006,1,4,4,10,0.0
2006,1,4,4,20,2.171
2006,1,4,4,30,0.0
2006,1,4,4,40,0.0
2006,1,4,4,50,0.0
2006,1,4,5,0,2.427
2006,1,4,5,10,2.403
2006,1,4,5,20,2.109
2006,1,4,5,30,2.853
2006,1,4,5,40,2.802
2006,1,4,5,50,3.321
2006,1,4,6,0,3.9210000000000003
2006,1,4,6,10,2.9760000000000004
2006,1,4,6,20,2.085
2006,1,4,6,30,0.0
2006,1,4,6,40,0.966
2006,1,4,6,50,1.22
2006,1,4,7,0,0.0
2006,1,4,7,10,0.792
2006,1,4,7,20,1.859
2006,1,4,7,30,0.639
2006,1,4,7,40,1.3880000000000001
2006,1,4,7,50,1.092
2006,1,4,8,0,0.8170000000000001
2006,1,4,8,10,1.217
2006,1,4,8,20,0.0
2006,1,4,8,30,0.0
2006,1,4,8,40,0.727
2006,1,4,8,50,0.0
2006,1,4,9,0,0.9229999999999999
2006,1,4,9,10,0.0
2006,1,4,9,20,0.9
2006,1,4,9,30,0.8809999999999999
2006,1,4,9,40,0.0
2006,1,4,9,50,0.8640000000000001
2006,1,4,10,0,1.5419999999999998
2006,1,4,10,10,1.4140000000000001
2006,1,4,10,20,1.38
2006,1,4,10,30,1.188
2006,1,4,10,40,2.6510000000000002
2006,1,4,10,50,2.343
2006,1,4,11,0,3.2260000000000004
2006,1,4,11,10,2.984
2006,1,4,11,20,3.4189999999999996
2006,1,4,11,30,0.593
2006,1,4,11,40,4.6930000000000005
2006,1,4,11,50,4.99
2006,1,4,12,0,5.55
2006,1,4,12,10,5.303999999999999
2006,1,4,12,20,5.944
2006,1,4,12,30,5.822
2006,1,4,12,40,5.1979999999999995
2006,1,4,12,50,4.756
2006,1,4,13,0,4.837
2006,1,4,13,10,4.333
2006,1,4,13,20,1.078
2006,1,4,13,30,2.8339999999999996
2006,1,4,13,40,2.046
2006,1,4,13,50,2.1319999999999997
2006,1,4,14,0,2.905
2006,1,4,14,10,1.149
2006,1,4,14,20,2.511
2006,1,4,14,30,1.074
2006,1,4,14,40,2.135
2006,1,4,14,50,2.0069999999999997
2006,1,4,15,0,2.089
2006,1,4,15,10,1.305
2006,1,4,15,20,1.262
2006,1,4,15,30,2.677
2006,1,4,15,40,2.265
2006,1,4,15,50,1.955
2006,1,4,16,0,2.9539999999999997
2006,1,4,16,10,1.4780000000000002
2006,1,4,16,20,0.0
2006,1,4,16,30,2.019
2006,1,4,16,40,1.379
2006,1,4,16,50,1.262
2006,1,4,17,0,0.254
2006,1,4,17,10,1.7819999999999998
2006,1,4,17,20,0.153
2006,1,4,17,30,0.5579999999999999
2006,1,4,17,40,0.7340000000000001
2006,1,4,17,50,0.777
2006,1,4,18,0,0.0
2006,1,4,18,10,1.25
2006,1,4,18,20,0.17
2006,1,4,18,30,0.16699999999999998
2006,1,4,18,40,0.546
2006,1,4,18,50,0.555
2006,1,4,19,0,1.077
2006,1,4,19,10,0.96
2006,1,4,19,20,0.8490000000000001
2006,1,4,19,30,0.311
2006,1,4,19,40,1.5519999999999998
2006,1,4,19,50,0.0
2006,1,4,20,0,0.0
2006,1,4,20,10,0.0
2006,1,4,20,20,0.467
2006,1,4,20,30,1.294
2006,1,4,20,40,1.073
2006,1,4,20,50,2.499
2006,1,4,21,0,2.2159999999999997
2006,1,4,21,10,2.593
2006,1,4,21,20,1.8630000000000002
2006,1,4,21,30,3.125
2006,1,4,21,40,4.333
2006,1,4,21,50,0.618
2006,1,4,22,0,0.0
2006,1,4,22,10,2.873
2006,1,4,22,20,8.418
2006,1,4,22,30,12.08
2006,1,4,22,40,20.528000000000002
2006,1,4,22,50,21.393
2006,1,4,23,0,24.756
2006,1,4,23,10,29.179000000000002
2006,1,4,23,20,28.245
2006,1,4,23,30,29.105
2006,1,4,23,40,30.0
2006,1,4,23,50,29.802
2006,1,5,0,0,30.0
2006,1,5,0,10,28.528000000000002
2006,1,5,0,20,29.611
2006,1,5,0,30,29.963
2006,1,5,0,40,30.0
2006,1,5,0,50,30.0
2006,1,5,1,0,29.451999999999998
2006,1,5,1,10,30.0
2006,1,5,1,20,30.0
2006,1,5,1,30,27.849
2006,1,5,1,40,29.76
2006,1,5,1,50,30.0
2006,1,5,2,0,30.0
2006,1,5,2,10,30.0
2006,1,5,2,20,30.0
2006,1,5,2,30,30.0
2006,1,5,2,40,30.0
2006,1,5,2,50,29.673000000000002
2006,1,5,3,0,30.0
2006,1,5,3,10,30.0
2006,1,5,3,20,28.642
2006,1,5,3,30,29.897
2006,1,5,3,40,29.566999999999997
2006,1,5,3,50,29.486
2006,1,5,4,0,30.0
2006,1,5,4,10,30.0
2006,1,5,4,20,27.982
2006,1,5,4,30,29.723000000000003
2006,1,5,4,40,26.647
2006,1,5,4,50,28.531
2006,1,5,5,0,22.625999999999998
2006,1,5,5,10,23.58
2006,1,5,5,20,22.013
2006,1,5,5,30,20.147000000000002
2006,1,5,5,40,21.301
2006,1,5,5,50,15.427999999999999
2006,1,5,6,0,13.975
2006,1,5,6,10,14.855
2006,1,5,6,20,14.017000000000001
2006,1,5,6,30,9.759
2006,1,5,6,40,9.293
2006,1,5,6,50,12.751
2006,1,5,7,0,8.765
2006,1,5,7,10,9.734
2006,1,5,7,20,10.332
2006,1,5,7,30,8.794
2006,1,5,7,40,10.859000000000002
